category,color,date,month,price,region,revenue,sales_units,season,social_engagement,style,year
Tops,Green,2023-08-08,8,421,Europe,160401,381,Summer,32470,Formal,2023
Pants,Gray,2023-11-21,11,150,North America,86400,576,Fall,18276,Preppy,2023
Outerwear,Navy,2024-05-21,5,274,North America,58088,212,Spring,3613,Formal,2024
Jewelry,Yellow,2023-11-10,11,488,North America,336720,690,Fall,46783,Bohemian,2023
Bags,Yellow,2023-08-14,8,213,North America,148035,695,Summer,40164,Bohemian,2023
Jewelry,Navy,2023-10-17,10,30,Asia,5490,183,Fall,21899,Grunge,2023
Skirts,Blue,2024-04-09,4,31,Australia,35371,1141,Spring,43346,Streetwear,2024
Jewelry,Gray,2024-01-23,1,101,Australia,25553,253,Winter,25186,Athletic,2024
Skirts,Brown,2023-11-20,11,47,Europe,43663,929,Fall,44278,Athletic,2023
Tops,Black,2024-12-31,12,477,South America,111618,234,Winter,36635,Casual,2024
Jewelry,Navy,2023-09-06,9,154,South America,84700,550,Fall,38937,Formal,2023
Shoes,Orange,2023-12-31,12,313,Australia,92648,296,Winter,12831,Vintage,2023
Jewelry,Navy,2024-01-18,1,40,Europe,19120,478,Winter,9566,Minimalist,2024
Bags,White,2023-07-08,7,273,Asia,111930,410,Summer,2613,Minimalist,2023
Pants,Navy,2024-12-27,12,35,Australia,33810,966,Winter,18666,Vintage,2024
Skirts,Yellow,2024-07-04,7,114,South America,18468,162,Summer,3466,Punk,2024
Jewelry,Yellow,2023-04-26,4,152,Europe,116736,768,Spring,15081,Casual,2023
Dresses,Navy,2024-12-14,12,89,South America,71734,806,Winter,47841,Grunge,2024
Accessories,Green,2023-12-31,12,462,Australia,429660,930,Winter,48040,Casual,2023
Skirts,Brown,2023-05-19,5,144,North America,57312,398,Spring,5127,Preppy,2023
Tops,Black,2023-09-02,9,248,South America,263872,1064,Fall,21367,Punk,2023
Outerwear,White,2023-02-05,2,280,Australia,568680,2031,Winter,42847,Minimalist,2023
Dresses,Navy,2023-10-27,10,218,Asia,71940,330,Fall,24339,Streetwear,2023
Bags,Black,2023-09-23,9,121,Asia,114950,950,Fall,35352,Preppy,2023
Pants,Gray,2023-10-09,10,27,Europe,23922,886,Fall,41222,Punk,2023
Skirts,Blue,2024-09-26,9,209,Asia,52041,249,Fall,14999,Vintage,2024
Dresses,Red,2023-09-12,9,470,Asia,462480,984,Fall,42953,Athletic,2023
Jewelry,White,2024-08-18,8,413,South America,283731,687,Summer,20298,Bohemian,2024
Outerwear,Beige,2024-03-18,3,405,North America,490455,1211,Spring,35141,Casual,2024
Shoes,Blue,2023-12-18,12,84,North America,63756,759,Winter,47102,Punk,2023
Bags,Blue,2023-08-30,8,296,Europe,73704,249,Summer,28845,Minimalist,2023
Accessories,Yellow,2023-06-26,6,293,North America,92002,314,Summer,3619,Vintage,2023
Pants,Brown,2024-10-21,10,53,Australia,19769,373,Fall,1494,Casual,2024
Bags,Pink,2023-10-22,10,484,Asia,427856,884,Fall,21186,Preppy,2023
Accessories,Beige,2024-10-25,10,280,Europe,53200,190,Fall,19804,Vintage,2024
Dresses,White,2023-01-23,1,437,Australia,85652,196,Winter,40574,Formal,2023
Skirts,Beige,2023-01-21,1,490,Asia,217070,443,Winter,28635,Athletic,2023
Tops,Red,2024-09-30,9,287,Australia,272076,948,Fall,19245,Athletic,2024
Tops,White,2024-07-07,7,156,North America,251316,1611,Summer,26582,Formal,2024
Accessories,Orange,2024-04-01,4,266,Asia,247912,932,Spring,3242,Vintage,2024
Skirts,Yellow,2024-09-27,9,189,North America,168777,893,Fall,27851,Vintage,2024
Pants,Black,2023-06-14,6,179,Australia,258297,1443,Summer,46078,Streetwear,2023
Dresses,Black,2024-08-01,8,318,South America,146916,462,Summer,17112,Preppy,2024
Outerwear,Yellow,2023-05-20,5,328,Asia,106600,325,Spring,33027,Bohemian,2023
Tops,Blue,2024-01-17,1,202,North America,130088,644,Winter,18617,Streetwear,2024
Jewelry,Pink,2023-11-03,11,84,Australia,71064,846,Fall,19650,Formal,2023
Accessories,Gray,2023-09-13,9,319,Europe,160776,504,Fall,49964,Streetwear,2023
Outerwear,Blue,2024-02-09,2,432,North America,475632,1101,Winter,33367,Grunge,2024
Bags,Purple,2024-01-01,1,389,Asia,120590,310,Winter,16276,Bohemian,2024
Jewelry,Black,2023-06-14,6,96,Australia,64896,676,Summer,31397,Bohemian,2023
Accessories,White,2023-04-08,4,42,North America,33306,793,Spring,34580,Preppy,2023
Accessories,Orange,2023-03-19,3,56,South America,10248,183,Spring,38950,Streetwear,2023
Pants,Gray,2024-05-01,5,52,Europe,8008,154,Spring,12035,Streetwear,2024
Outerwear,Brown,2023-04-03,4,264,South America,41448,157,Spring,43076,Vintage,2023
Skirts,Pink,2023-06-03,6,389,North America,57961,149,Summer,25293,Athletic,2023
Pants,Black,2024-01-25,1,149,North America,39783,267,Winter,9205,Athletic,2024
Jewelry,Black,2024-03-03,3,114,Europe,138282,1213,Spring,27335,Casual,2024
Shoes,Green,2023-04-02,4,88,South America,62832,714,Spring,35242,Formal,2023
Shoes,Blue,2023-12-22,12,274,Asia,270712,988,Winter,24948,Preppy,2023
Pants,Beige,2023-01-11,1,186,North America,203298,1093,Winter,25546,Streetwear,2023
Bags,White,2023-08-29,8,65,Asia,28470,438,Summer,26551,Preppy,2023
Skirts,Navy,2024-12-13,12,183,Europe,253455,1385,Winter,2727,Minimalist,2024
Dresses,Pink,2024-09-19,9,378,Asia,293328,776,Fall,2763,Preppy,2024
Skirts,White,2023-01-11,1,20,Asia,10680,534,Winter,26466,Grunge,2023
Jewelry,Green,2023-02-14,2,215,South America,91160,424,Winter,23080,Punk,2023
Bags,Orange,2024-10-03,10,281,Europe,280157,997,Fall,29331,Athletic,2024
Outerwear,Beige,2024-10-25,10,383,Australia,368446,962,Fall,34570,Preppy,2024
Accessories,Brown,2023-06-08,6,424,Australia,103456,244,Summer,22779,Grunge,2023
Bags,Orange,2024-02-23,2,401,South America,176039,439,Winter,10856,Bohemian,2024
Dresses,Navy,2024-02-14,2,34,Europe,7208,212,Winter,43605,Punk,2024
Dresses,Red,2023-04-18,4,64,Australia,57600,900,Spring,38761,Grunge,2023
Dresses,Purple,2024-11-16,11,346,North America,402052,1162,Fall,25656,Minimalist,2024
Tops,Beige,2024-12-25,12,447,Australia,197574,442,Winter,25728,Preppy,2024
Jewelry,Black,2023-01-08,1,492,Europe,66912,136,Winter,10873,Grunge,2023
Accessories,Gray,2023-01-24,1,423,North America,311328,736,Winter,16614,Athletic,2023
Jewelry,Yellow,2023-07-14,7,89,Australia,69509,781,Summer,46893,Athletic,2023
Tops,Gray,2024-07-12,7,274,Europe,297838,1087,Summer,43804,Preppy,2024
Dresses,Blue,2023-08-17,8,442,South America,521560,1180,Summer,40162,Formal,2023
Outerwear,Beige,2024-02-19,2,273,Asia,181818,666,Winter,33179,Grunge,2024
Tops,Black,2024-02-09,2,285,North America,115140,404,Winter,35327,Minimalist,2024
Outerwear,Blue,2023-05-27,5,469,North America,264985,565,Spring,13283,Streetwear,2023
Jewelry,Gray,2024-11-07,11,491,South America,281343,573,Fall,7025,Preppy,2024
Dresses,Brown,2024-03-11,3,134,Australia,141906,1059,Spring,32340,Minimalist,2024
Jewelry,Purple,2023-05-28,5,286,Asia,180466,631,Spring,38770,Streetwear,2023
Bags,Blue,2023-11-09,11,30,North America,3840,128,Fall,13912,Formal,2023
Accessories,Brown,2024-11-05,11,192,Europe,175488,914,Fall,44891,Athletic,2024
Outerwear,Red,2024-07-24,7,426,Asia,391920,920,Summer,46938,Minimalist,2024
Skirts,Green,2023-02-11,2,391,South America,369886,946,Winter,13014,Grunge,2023
Outerwear,White,2024-04-04,4,208,Asia,39104,188,Spring,26559,Bohemian,2024
Skirts,Red,2024-01-20,1,322,Europe,246008,764,Winter,44143,Formal,2024
Pants,White,2023-02-09,2,407,Australia,407407,1001,Winter,22799,Minimalist,2023
Tops,Navy,2023-12-09,12,356,Europe,539696,1516,Winter,45886,Casual,2023
Outerwear,Beige,2023-12-08,12,355,Australia,149455,421,Winter,33174,Athletic,2023
